neighbourhood_group,room_type,price,minimum_nights,calculated_host_listings_count,availability_365
Manhattan,Private room,125.0,1,2,45.0
Brooklyn,Entire home/apt,120.0,2,1,45.0
Brooklyn,Entire home/apt,90.0,1,1,45.0
Brooklyn,Private room,160.0,2,1,364.0
Brooklyn,Private room,31.0,5,1,45.0
Queens,Private room,39.0,1,1,45.0
Brooklyn,Private room,70.0,3,1,45.0
Manhattan,Entire home/apt,130.0,7,1,45.0
Brooklyn,Private room,38.0,5,1,45.0
Manhattan,Entire home/apt,239.0,2,1,45.0
Queens,Private room,45.0,1,1,45.0
Manhattan,Entire home/apt,200.0,3,2,45.0
Brooklyn,Private room,99.0,1,2,45.0
Brooklyn,Private room,65.0,12,1,45.0
Manhattan,Private room,65.0,2,1,45.0
Brooklyn,Entire home/apt,195.0,1,1,45.0
Manhattan,Entire home/apt,50.0,4,1,25.0
Manhattan,Entire home/apt,239.0,4,1,45.0
Manhattan,Entire home/apt,150.0,4,1,45.0
Manhattan,Private room,80.0,1,2,45.0
Manhattan,Private room,99.0,4,1,45.0
Brooklyn,Entire home/apt,95.0,3,1,45.0
Brooklyn,Private room,50.0,1,1,45.0
Manhattan,Private room,99.0,3,2,45.0
Brooklyn,Entire home/apt,109.0,3,1,45.0
Brooklyn,Entire home/apt,200.0,3,1,45.0
Manhattan,Entire home/apt,100.0,3,1,45.0
Manhattan,Entire home/apt,179.0,30,2,365.0
Manhattan,Private room,85.0,5,1,45.0
Brooklyn,Entire home/apt,175.0,7,1,45.0
Brooklyn,Entire home/apt,110.0,2,1,45.0
Queens,Private room,80.0,1,1,45.0
Manhattan,Entire home/apt,125.0,4,1,45.0
Manhattan,Private room,99.0,4,1,45.0
Brooklyn,Private room,55.0,3,1,45.0
Brooklyn,Private room,58.0,9,1,45.0
Queens,Private room,39.0,30,18,360.0
Manhattan,Private room,127.0,2,1,45.0
Manhattan,Entire home/apt,259.0,2,1,17.0
Brooklyn,Private room,100.0,1,2,365.0
Manhattan,Entire home/apt,150.0,4,1,45.0
Manhattan,Entire home/apt,200.0,2,1,45.0
Brooklyn,Private room,30.0,21,2,1.0
Queens,Private room,50.0,1,1,45.0
Manhattan,Entire home/apt,175.0,2,1,45.0
Manhattan,Entire home/apt,120.0,4,1,45.0
Manhattan,Entire home/apt,350.0,1,1,45.0
Brooklyn,Shared room,40.0,5,1,45.0
Brooklyn,Entire home/apt,90.0,7,1,45.0
Manhattan,Entire home/apt,200.0,1,1,45.0
Manhattan,Private room,65.0,1,1,45.0
Manhattan,Private room,125.0,3,1,45.0
Manhattan,Entire home/apt,199.0,4,1,45.0
Manhattan,Private room,115.0,1,2,45.0
Brooklyn,Entire home/apt,93.0,4,1,45.0
Manhattan,Entire home/apt,245.0,1,1,45.0
Manhattan,Private room,120.0,7,3,45.0
Manhattan,Private room,95.0,2,2,45.0
Manhattan,Entire home/apt,150.0,5,1,45.0
Manhattan,Private room,95.0,2,2,45.0
Brooklyn,Private room,62.0,5,1,45.0
Brooklyn,Private room,49.0,1,1,45.0
Queens,Private room,100.0,20,1,182.0
Brooklyn,Entire home/apt,125.0,14,1,45.0
Brooklyn,Private room,90.0,1,1,45.0
Queens,Entire home/apt,245.0,6,1,164.0
Manhattan,Entire home/apt,120.0,30,52,365.0
Brooklyn,Private room,50.0,1,1,45.0
Manhattan,Entire home/apt,150.0,2,1,45.0
Manhattan,Private room,125.0,1,3,365.0
Staten Island,Entire home/apt,625.0,4,4,335.0
Manhattan,Entire home/apt,150.0,3,1,45.0
Manhattan,Shared room,99.0,1,1,45.0
Manhattan,Shared room,350.0,2,1,45.0
Manhattan,Private room,90.0,3,1,45.0
Brooklyn,Private room,75.0,2,1,45.0
Queens,Entire home/apt,125.0,1,1,45.0
Brooklyn,Entire home/apt,160.0,1,1,45.0
Brooklyn,Private room,90.0,1,1,45.0
Manhattan,Entire home/apt,250.0,1,1,45.0
Queens,Shared room,52.0,1,1,363.0
Brooklyn,Entire home/apt,225.0,2,1,45.0
Manhattan,Private room,80.0,1,1,45.0
Manhattan,Entire home/apt,300.0,23,1,45.0
Manhattan,Entire home/apt,99.0,3,1,365.0
Brooklyn,Entire home/apt,78.0,1,1,45.0
Brooklyn,Private room,65.0,3,1,45.0
Manhattan,Entire home/apt,275.0,1,1,45.0
Brooklyn,Private room,55.0,1,1,45.0
Manhattan,Entire home/apt,110.0,30,1,188.0
Brooklyn,Private room,48.0,4,2,45.0
Brooklyn,Entire home/apt,150.0,5,1,45.0
Brooklyn,Private room,75.0,2,1,45.0
Brooklyn,Private room,65.0,1,1,45.0
Brooklyn,Entire home/apt,99.0,1,1,45.0
Queens,Entire home/apt,70.0,30,1,45.0
Manhattan,Private room,90.0,1,1,45.0
Manhattan,Entire home/apt,175.0,1,1,45.0
Manhattan,Entire home/apt,200.0,1,1,45.0
Manhattan,Entire home/apt,190.0,3,1,45.0
Manhattan,Entire home/apt,115.0,1,1,45.0
Manhattan,Entire home/apt,600.0,4,1,45.0
Manhattan,Entire home/apt,280.0,1,1,45.0
Brooklyn,Private room,139.0,1,2,45.0
Queens,Private room,70.0,1,1,220.0
Staten Island,Entire home/apt,250.0,30,3,45.0
Manhattan,Entire home/apt,148.0,2,1,45.0
Brooklyn,Entire home/apt,120.0,5,1,45.0
Brooklyn,Private room,85.0,3,1,45.0
Manhattan,Private room,99.0,1,1,45.0
Manhattan,Private room,100.0,7,1,45.0
Manhattan,Shared room,175.0,1,1,45.0
Brooklyn,Entire home/apt,95.0,3,1,270.0
Manhattan,Entire home/apt,95.0,2,1,45.0
Brooklyn,Entire home/apt,85.0,4,1,45.0
Brooklyn,Private room,55.0,1,1,45.0
Brooklyn,Entire home/apt,2000.0,1,1,365.0
Queens,Entire home/apt,95.0,5,1,45.0
Manhattan,Private room,141.0,1,1,45.0
Manhattan,Entire home/apt,180.0,4,1,184.0
Queens,Private room,50.0,1,1,45.0
Manhattan,Entire home/apt,250.0,5,1,45.0
Manhattan,Entire home/apt,230.0,6,1,45.0
Brooklyn,Entire home/apt,175.0,1,1,45.0
Brooklyn,Entire home/apt,149.0,6,1,45.0
Brooklyn,Entire home/apt,169.0,4,1,45.0
Brooklyn,Private room,95.0,1,1,364.0
Manhattan,Entire home/apt,250.0,2,1,45.0
Manhattan,Entire home/apt,120.0,2,1,45.0
Manhattan,Entire home/apt,200.0,1,1,45.0
Brooklyn,Private room,70.0,1,2,45.0
Brooklyn,Entire home/apt,50.0,5,1,45.0
Brooklyn,Private room,90.0,2,1,45.0
Queens,Private room,47.0,2,1,17.0
Brooklyn,Entire home/apt,600.0,1,1,89.0
Brooklyn,Private room,80.0,2,1,45.0
Brooklyn,Entire home/apt,125.0,2,1,45.0
Manhattan,Entire home/apt,150.0,5,1,45.0
Brooklyn,Entire home/apt,500.0,1,2,362.0
Manhattan,Private room,68.0,6,1,45.0
Brooklyn,Entire home/apt,85.0,3,1,45.0
Brooklyn,Private room,65.0,1,2,45.0
Brooklyn,Entire home/apt,110.0,1,1,45.0
Brooklyn,Entire home/apt,95.0,3,1,45.0
Brooklyn,Entire home/apt,155.0,25,1,364.0
Brooklyn,Entire home/apt,150.0,7,1,45.0
Brooklyn,Entire home/apt,499.0,7,1,31.0
Brooklyn,Private room,95.0,1,1,45.0
Brooklyn,Entire home/apt,99.0,5,1,45.0
Brooklyn,Private room,60.0,5,1,45.0
Brooklyn,Private room,95.0,1,1,45.0
Manhattan,Entire home/apt,225.0,30,1,173.0
Manhattan,Entire home/apt,400.0,3,1,45.0
Manhattan,Entire home/apt,350.0,3,1,45.0
Manhattan,Entire home/apt,90.0,7,1,45.0
Brooklyn,Private room,50.0,1,4,45.0
Brooklyn,Entire home/apt,145.0,7,1,45.0
Manhattan,Entire home/apt,115.0,4,1,45.0
Brooklyn,Entire home/apt,140.0,5,1,45.0
Queens,Private room,60.0,1,1,45.0
Manhattan,Entire home/apt,250.0,1,1,45.0
Manhattan,Entire home/apt,250.0,2,1,45.0
Manhattan,Private room,37.0,30,1,45.0
Brooklyn,Entire home/apt,100.0,2,1,45.0
Brooklyn,Entire home/apt,240.0,2,1,45.0
